date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:35	38006/38006	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:48:22%20GMT	http://kodeforest.net/html/books/store/images/new-arrival2.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/new-arrival2.png	(from http://kodeforest.net/html/books/store/book-listing.html)
11:48:35	34726/34726	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:48:22%20GMT	http://kodeforest.net/html/books/store/images/new-arrival3.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/new-arrival3.png	(from http://kodeforest.net/html/books/store/book-listing.html)
11:48:37	40183/40183	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Nov%202015%2015:46:14%20GMT	http://kodeforest.net/html/books/store/images/books-list1.jpg	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/books-list1.jpg	(from http://kodeforest.net/html/books/store/book-listing.html)
11:49:06	47551/47551	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Nov%202015%2015:46:24%20GMT	http://kodeforest.net/html/books/store/images/books-list5.jpg	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/books-list5.jpg	(from http://kodeforest.net/html/books/store/book-listing.html)
11:49:06	48073/48073	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Nov%202015%2015:46:21%20GMT	http://kodeforest.net/html/books/store/images/books-list3.jpg	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/books-list3.jpg	(from http://kodeforest.net/html/books/store/book-listing.html)
11:49:06	42205/42205	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Nov%202015%2015:46:19%20GMT	http://kodeforest.net/html/books/store/images/books-list2.jpg	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/books-list2.jpg	(from http://kodeforest.net/html/books/store/book-listing.html)
11:49:06	42227/42227	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Nov%202015%2015:46:22%20GMT	http://kodeforest.net/html/books/store/images/books-list4.jpg	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/books-list4.jpg	(from http://kodeforest.net/html/books/store/book-listing.html)
11:49:10	41953/41953	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Nov%202015%2015:46:25%20GMT	http://kodeforest.net/html/books/store/images/books-list6.jpg	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/books-list6.jpg	(from http://kodeforest.net/html/books/store/book-listing.html)
11:49:11	8044/8044	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-1f6c%22	http://cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	C:/My%20Web%20Sites/livre2/cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	(from http://kodeforest.net/html/books/store/book-listing-1.html)
11:49:14	44076/44076	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Nov%202015%2015:46:26%20GMT	http://kodeforest.net/html/books/store/images/books-list7.jpg	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/books-list7.jpg	(from http://kodeforest.net/html/books/store/book-listing.html)
11:49:15	42537/42537	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Nov%202015%2015:46:27%20GMT	http://kodeforest.net/html/books/store/images/books-list9.jpg	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/books-list9.jpg	(from http://kodeforest.net/html/books/store/book-listing.html)
11:49:23	91684/91684	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:46:02%20GMT	http://kodeforest.net/html/books/store/images/book10.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/book10.png	(from http://kodeforest.net/html/books/store/book-listing-1.html)
11:49:24	77993/77993	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Nov%202015%2015:45:59%20GMT	http://kodeforest.net/html/books/store/images/book-detail.jpg	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/book-detail.jpg	(from http://kodeforest.net/html/books/store/book-detail.html)
11:49:25	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2010:49:32%20GMT	http://kodeforest.net/html/books/store/css/grabbing.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/css/grabbing.a3.delayed	(from http://kodeforest.net/html/books/store/css/owl.carousel.css)
11:49:25	64672/64672	---M--	200	added ('OK')	application/javascript	date:Thu,%2019%20Nov%202015%2018:31:43%20GMT	http://kodeforest.net/html/books/store/js/googlemap.js	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/js/googlemap.js	(from http://kodeforest.net/html/books/store/contact-us.html)
11:49:27	130747/130747	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Nov%202015%2013:54:45%20GMT	http://kodeforest.net/html/books/store/images/book12.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/book12.png	(from http://kodeforest.net/html/books/store/book-detail.html)
